,Date/Time,Lat,Lon,Base
403,9/1/2014 17:01:00,40.753,-73.9966,B02512
404,9/1/2014 17:03:00,40.7686,-73.9556,B02512
405,9/1/2014 17:06:00,40.7512,-74.0065,B02512
406,9/1/2014 17:06:00,40.796,-73.6729,B02512
407,9/1/2014 17:06:00,40.688,-74.183,B02512
408,9/1/2014 17:06:00,40.7702,-73.8646,B02512
409,9/1/2014 17:07:00,40.7402,-73.9949,B02512
410,9/1/2014 17:10:00,40.7708,-73.866,B02512
411,9/1/2014 17:11:00,40.7167,-73.9975,B02512
412,9/1/2014 17:11:00,40.6951,-74.1783,B02512
413,9/1/2014 17:13:00,40.7483,-73.9797,B02512
414,9/1/2014 17:14:00,40.7105,-74.0177,B02512
415,9/1/2014 17:19:00,40.7568,-73.9674,B02512
416,9/1/2014 17:21:00,40.7409,-73.9805,B02512
417,9/1/2014 17:26:00,40.7627,-73.9963,B02512
418,9/1/2014 17:29:00,40.7808,-73.9728,B02512
419,9/1/2014 17:29:00,40.7349,-74.1647,B02512
420,9/1/2014 17:30:00,40.7617,-73.9717,B02512
421,9/1/2014 17:31:00,40.7399,-74.0061,B02512
422,9/1/2014 17:32:00,40.7345,-73.9978,B02512
423,9/1/2014 17:33:00,40.7145,-73.9447,B02512
424,9/1/2014 17:33:00,40.7122,-73.9513,B02512
425,9/1/2014 17:36:00,40.7333,-73.9873,B02512
426,9/1/2014 17:40:00,40.7444,-74.0083,B02512
427,9/1/2014 17:41:00,40.7078,-74.0063,B02512
428,9/1/2014 17:41:00,40.7314,-74.0067,B02512
429,9/1/2014 17:42:00,40.6483,-73.783,B02512
430,9/1/2014 17:43:00,40.7413,-73.9984,B02512
431,9/1/2014 17:43:00,40.7736,-73.9663,B02512
432,9/1/2014 17:44:00,40.7642,-73.9985,B02512
433,9/1/2014 17:46:00,40.728,-74.0433,B02512
434,9/1/2014 17:47:00,40.6875,-74.1905,B02512
435,9/1/2014 17:47:00,40.6875,-74.1905,B02512
436,9/1/2014 17:47:00,40.7683,-73.9883,B02512
437,9/1/2014 17:48:00,40.746,-74.0077,B02512
438,9/1/2014 17:48:00,40.7741,-73.8728,B02512
439,9/1/2014 17:52:00,40.7146,-73.9853,B02512
440,9/1/2014 17:53:00,40.6799,-73.9893,B02512
441,9/1/2014 17:55:00,40.7054,-74.0098,B02512
442,9/1/2014 17:56:00,40.7224,-74.0037,B02512
443,9/1/2014 18:03:00,40.721,-73.9977,B02512
444,9/1/2014 18:03:00,40.7641,-73.967,B02512
445,9/1/2014 18:04:00,40.7469,-73.996,B02512
446,9/1/2014 18:05:00,40.6864,-73.9686,B02512
447,9/1/2014 18:07:00,40.7451,-73.9768,B02512
448,9/1/2014 18:08:00,40.7267,-73.9769,B02512
449,9/1/2014 18:09:00,40.7659,-73.9771,B02512
450,9/1/2014 18:10:00,40.6553,-73.7264,B02512
451,9/1/2014 18:13:00,40.7529,-74.03,B02512
452,9/1/2014 18:15:00,40.7274,-73.9921,B02512
453,9/1/2014 18:18:00,40.7685,-73.9849,B02512
454,9/1/2014 18:20:00,40.8027,-73.9526,B02512
455,9/1/2014 18:21:00,40.741,-73.9806,B02512
456,9/1/2014 18:22:00,40.7367,-73.9888,B02512
457,9/1/2014 18:23:00,40.7583,-73.9751,B02512
458,9/1/2014 18:24:00,40.7372,-73.9885,B02512
459,9/1/2014 18:25:00,40.7988,-73.9694,B02512
460,9/1/2014 18:26:00,40.7721,-73.9522,B02512
461,9/1/2014 18:26:00,40.7426,-73.9979,B02512
462,9/1/2014 18:26:00,40.7421,-73.9967,B02512
463,9/1/2014 18:28:00,40.7894,-73.9672,B02512
464,9/1/2014 18:30:00,40.7641,-73.9704,B02512
465,9/1/2014 18:34:00,40.741,-73.9813,B02512
